R_PPI AIMed_d30 0 *EMPTY*-*EMPTY* token:Isolation|NN|O|-3|-9|root|0 token:of|IN|O|-2|-8|case|3 token:human|JJ|O|-1|-7|amod|3 token:delta-catenin|NN|P1|0|-6|nmod:of|0 token:and|CC|O|1|-5|cc|0 token:its|PRP$|O|2|-4|nmod:poss|7 token:binding|NN|O|3|-3|compound|7 token:specificity|NN|O|4|-2|conj:and|0 token:with|IN|O|5|-1|case|9 token:presenilin|NN|P2|6|0|nmod:with|7 token:1|CD|P2|7|0|nummod|9 token:.|.|O|8|1|| dep_token:delta-catenin|NN|P1|nmod:of|0 dep_token:Isolation|NN|O|root|0 dep_token:specificity|NN|O|conj:and|0 dep_token:presenilin|NN|P2|nmod:with|7 dep_path_len:3 lex_dep_path:GENE_1|<-nmod:of<-w:isol->conj:and->nmod:with->|GENE_2 lex_dep_path:GENE_1|<-nmod:of<-__->conj:and->w:specif->nmod:with->|GENE_2	Isolation of human <1>delta-catenin</1> and its binding specificity with <1>presenilin 1</1>.
R_PPI AIMed_d30 1 *EMPTY*-*EMPTY* token:We|PRP|O|-6|-19|nsubj|1@13 token:screened|VBD|O|-5|-18|root|1 token:proteins|NNS|O|-4|-17|dobj|1 token:for|IN|O|-3|-16|case|4 token:interaction|NN|O|-2|-15|nmod:for|1 token:with|IN|O|-1|-14|case|6 token:presenilin|NN|P1|0|-13|nmod:with|4 token:(|-LRB-|P1|0|-12|| token:PS|NN|P1|0|-11|appos|6 token:)|-RRB-|P1|0|-10|| token:1|CD|P1|0|-9|nummod|6 token:,|,|O|1|-8|| token:and|CC|O|2|-7|cc|1 token:cloned|VBD|O|3|-6|conj:and|1 token:the|DT|O|4|-5|det|16 token:full-length|JJ|O|5|-4|amod|16 token:cDNA|NN|O|6|-3|dobj@nsubj|13@22 token:of|IN|O|7|-2|case|19 token:human|JJ|O|8|-1|amod|19 token:delta-catenin|NN|P2|9|0|nmod:of|16 token:,|,|O|10|1|| token:which|WDT|O|11|2|ref|16 token:encoded|VBD|O|12|3|acl:relcl|16 token:1225|NN|O|13|4|compound|25 token:amino|NN|O|14|5|compound|25 token:acids|NNS|O|15|6|dobj|22 token:.|.|O|16|7|| dep_token:presenilin|NN|P1|nmod:with|4 dep_token:interaction|NN|O|nmod:for|1 dep_token:screened|VBD|O|root|1 dep_token:cloned|VBD|O|conj:and|1 dep_token:cDNA|NN|O|dobj@nsubj|13@22 dep_token:delta-catenin|NN|P2|nmod:of|16 dep_path_len:5 lex_dep_path:GENE_1|<-nmod:with<-w:interact<-nmod:for<-__->conj:and->dobj->nmod:of->|GENE_2 lex_dep_path:GENE_1|<-nmod:with<-nmod:for<-w:screen->conj:and->dobj->nmod:of->|GENE_2 lex_dep_path:GENE_1|<-nmod:with<-nmod:for<-__->conj:and->w:clone->dobj->nmod:of->|GENE_2 lex_dep_path:GENE_1|<-nmod:with<-nmod:for<-__->conj:and->dobj->w:cdna->nmod:of->|GENE_2	We screened proteins for interaction with <1>presenilin (PS) 1</1>, and cloned the full-length cDNA of human <1>delta-catenin</1>, which encoded 1225 amino acids.
R_PPI AIMed_d30 2 *EMPTY*-*EMPTY* token:Yeast|NN|O|-11|-24|compound|2 token:two-hybrid|JJ|O|-10|-23|amod|2 token:assay|NN|O|-9|-22|nsubj|9 token:,|,|O|-8|-21|| token:GST|NN|O|-7|-20|compound|6 token:binding|NN|O|-6|-19|compound|6 token:assay|NN|O|-5|-18|conj:and@nsubj|2@9 token:and|CC|O|-4|-17|cc|2 token:immunoprecipitation|NN|O|-3|-16|conj:and@nsubj|2@9 token:demonstrated|VBD|O|-2|-15|root|9 token:that|IN|O|-1|-14|mark|12 token:delta-catenin|NN|P1|0|-13|nsubj|12 token:interacted|VBD|O|1|-12|ccomp@conj:but|12@9 token:with|IN|O|2|-11|case|17 token:a|DT|O|3|-10|det|17 token:hydrophilic|JJ|O|4|-9|amod|17 token:loop|NN|O|5|-8|compound|17 token:region|NN|O|6|-7|nmod:with|12 token:in|IN|O|7|-6|case|22 token:the|DT|O|8|-5|det|22 token:endoproteolytic|JJ|O|9|-4|amod|22 token:C-terminal|JJ|O|10|-3|amod|22 token:fragment|NN|O|11|-2|nmod:in|17 token:of|IN|O|12|-1|case|24 token:PS1|NN|P2|13|0|nmod:of|22 token:,|,|O|14|1|| token:but|CC|O|15|2|cc|12 token:not|RB|O|16|3|neg|29 token:with|IN|O|17|4|case|29 token:that|DT|O|18|5|nmod:with|12 token:of|IN|O|19|6|case|31 token:PS-2|NN|P|20|7|nmod:of|29 token:.|.|O|21|8|| dep_token:delta-catenin|NN|P1|nsubj|12 dep_token:interacted|VBD|O|ccomp@conj:but|12@9 dep_token:region|NN|O|nmod:with|12 dep_token:fragment|NN|O|nmod:in|17 dep_token:PS1|NN|P2|nmod:of|22 dep_path_len:4 lex_dep_path:GENE_1|<-nsubj<-w:interact->nmod:with->nmod:in->nmod:of->|GENE_2 lex_dep_path:GENE_1|<-nsubj<-__->nmod:with->w:region->nmod:in->nmod:of->|GENE_2 lex_dep_path:GENE_1|<-nsubj<-__->nmod:with->nmod:in->w:fragment->nmod:of->|GENE_2	Yeast two-hybrid assay, GST binding assay and immunoprecipitation demonstrated that <1>delta-catenin</1> interacted with a hydrophilic loop region in the endoproteolytic C-terminal fragment of <1>PS1</1>, but not with that of <0>PS-2</0>.
NONE AIMed_d30 2 *EMPTY*-*EMPTY* token:Yeast|NN|O|-11|-31|compound|2 token:two-hybrid|JJ|O|-10|-30|amod|2 token:assay|NN|O|-9|-29|nsubj|9 token:,|,|O|-8|-28|| token:GST|NN|O|-7|-27|compound|6 token:binding|NN|O|-6|-26|compound|6 token:assay|NN|O|-5|-25|conj:and@nsubj|2@9 token:and|CC|O|-4|-24|cc|2 token:immunoprecipitation|NN|O|-3|-23|conj:and@nsubj|2@9 token:demonstrated|VBD|O|-2|-22|root|9 token:that|IN|O|-1|-21|mark|12 token:delta-catenin|NN|P1|0|-20|nsubj|12 token:interacted|VBD|O|1|-19|ccomp@conj:but|12@9 token:with|IN|O|2|-18|case|17 token:a|DT|O|3|-17|det|17 token:hydrophilic|JJ|O|4|-16|amod|17 token:loop|NN|O|5|-15|compound|17 token:region|NN|O|6|-14|nmod:with|12 token:in|IN|O|7|-13|case|22 token:the|DT|O|8|-12|det|22 token:endoproteolytic|JJ|O|9|-11|amod|22 token:C-terminal|JJ|O|10|-10|amod|22 token:fragment|NN|O|11|-9|nmod:in|17 token:of|IN|O|12|-8|case|24 token:PS1|NN|P|13|-7|nmod:of|22 token:,|,|O|14|-6|| token:but|CC|O|15|-5|cc|12 token:not|RB|O|16|-4|neg|29 token:with|IN|O|17|-3|case|29 token:that|DT|O|18|-2|nmod:with|12 token:of|IN|O|19|-1|case|31 token:PS-2|NN|P2|20|0|nmod:of|29 token:.|.|O|21|1|| dep_token:delta-catenin|NN|P1|nsubj|12 dep_token:interacted|VBD|O|ccomp@conj:but|12@9 dep_token:that|DT|O|nmod:with|12 dep_token:PS-2|NN|P2|nmod:of|29 dep_path_len:3 lex_dep_path:GENE_1|<-nsubj<-w:interact->nmod:with->nmod:of->|GENE_2 lex_dep_path:GENE_1|<-nsubj<-__->nmod:with->w:that->nmod:of->|GENE_2	Yeast two-hybrid assay, GST binding assay and immunoprecipitation demonstrated that <1>delta-catenin</1> interacted with a hydrophilic loop region in the endoproteolytic C-terminal fragment of <0>PS1</0>, but not with that of <1>PS-2</1>.
NONE AIMed_d30 2 *EMPTY*-*EMPTY* token:Yeast|NN|O|-24|-31|compound|2 token:two-hybrid|JJ|O|-23|-30|amod|2 token:assay|NN|O|-22|-29|nsubj|9 token:,|,|O|-21|-28|| token:GST|NN|O|-20|-27|compound|6 token:binding|NN|O|-19|-26|compound|6 token:assay|NN|O|-18|-25|conj:and@nsubj|2@9 token:and|CC|O|-17|-24|cc|2 token:immunoprecipitation|NN|O|-16|-23|conj:and@nsubj|2@9 token:demonstrated|VBD|O|-15|-22|root|9 token:that|IN|O|-14|-21|mark|12 token:delta-catenin|NN|P|-13|-20|nsubj|12 token:interacted|VBD|O|-12|-19|ccomp@conj:but|12@9 token:with|IN|O|-11|-18|case|17 token:a|DT|O|-10|-17|det|17 token:hydrophilic|JJ|O|-9|-16|amod|17 token:loop|NN|O|-8|-15|compound|17 token:region|NN|O|-7|-14|nmod:with|12 token:in|IN|O|-6|-13|case|22 token:the|DT|O|-5|-12|det|22 token:endoproteolytic|JJ|O|-4|-11|amod|22 token:C-terminal|JJ|O|-3|-10|amod|22 token:fragment|NN|O|-2|-9|nmod:in|17 token:of|IN|O|-1|-8|case|24 token:PS1|NN|P1|0|-7|nmod:of|22 token:,|,|O|1|-6|| token:but|CC|O|2|-5|cc|12 token:not|RB|O|3|-4|neg|29 token:with|IN|O|4|-3|case|29 token:that|DT|O|5|-2|nmod:with|12 token:of|IN|O|6|-1|case|31 token:PS-2|NN|P2|7|0|nmod:of|29 token:.|.|O|8|1|| dep_token:PS1|NN|P1|nmod:of|22 dep_token:fragment|NN|O|nmod:in|17 dep_token:region|NN|O|nmod:with|12 dep_token:interacted|VBD|O|ccomp@conj:but|12@9 dep_token:that|DT|O|nmod:with|12 dep_token:PS-2|NN|P2|nmod:of|29 dep_path_len:5 lex_dep_path:GENE_1|<-nmod:of<-w:fragment<-nmod:in<-nmod:with<-__->nmod:with->nmod:of->|GENE_2 lex_dep_path:GENE_1|<-nmod:of<-nmod:in<-w:region<-nmod:with<-__->nmod:with->nmod:of->|GENE_2 lex_dep_path:GENE_1|<-nmod:of<-nmod:in<-nmod:with<-w:interact->nmod:with->nmod:of->|GENE_2 lex_dep_path:GENE_1|<-nmod:of<-nmod:in<-nmod:with<-__->nmod:with->w:that->nmod:of->|GENE_2	Yeast two-hybrid assay, GST binding assay and immunoprecipitation demonstrated that <0>delta-catenin</0> interacted with a hydrophilic loop region in the endoproteolytic C-terminal fragment of <1>PS1</1>, but not with that of <1>PS-2</1>.
NONE AIMed_d30 3 *EMPTY*-*EMPTY* token:These|DT|O|-4|-6|det|1 token:results|NNS|O|-3|-5|nsubj|2 token:suggest|VBP|O|-2|-4|root|2 token:that|IN|O|-1|-3|mark|8 token:PS1|NN|P1|0|-2|nsubj|8 token:and|CC|O|1|-1|cc|4 token:PS2|NN|P2|2|0|conj:and@nsubj|4@8 token:partly|RB|O|3|1|advmod|8 token:differ|VBP|O|4|2|ccomp|2 token:in|IN|O|5|3|case|10 token:function|NN|O|6|4|nmod:in|8 token:.|.|O|7|5|| dep_token:PS1|NN|P1|nsubj|8 dep_token:PS2|NN|P2|conj:and@nsubj|4@8 dep_path_len:1	These results suggest that <1>PS1</1> and <1>PS2</1> partly differ in function.
NONE AIMed_d30 5 *EMPTY*-*EMPTY* token:We|PRP|O|-4|-6|nsubj|2 token:also|RB|O|-3|-5|advmod|2 token:found|VBD|O|-2|-4|root|2 token:another|DT|O|-1|-3|det|4 token:armadillo-protein|NN|P1|0|-2|nsubj|8 token:,|,|O|1|-1|| token:p0071|NN|P2|2|0|appos|4 token:,|,|O|3|1|| token:interacted|VBD|O|4|2|ccomp|2 token:with|IN|O|5|3|case|10 token:PS1|NN|P|6|4|nmod:with|8 token:.|.|O|7|5|| dep_token:armadillo-protein|NN|P1|nsubj|8 dep_token:p0071|NN|P2|appos|4 dep_path_len:1	We also found another <1>armadillo-protein</1>, <1>p0071</1>, interacted with <0>PS1</0>.
NONE AIMed_d30 5 *EMPTY*-*EMPTY* token:We|PRP|O|-4|-10|nsubj|2 token:also|RB|O|-3|-9|advmod|2 token:found|VBD|O|-2|-8|root|2 token:another|DT|O|-1|-7|det|4 token:armadillo-protein|NN|P1|0|-6|nsubj|8 token:,|,|O|1|-5|| token:p0071|NN|P|2|-4|appos|4 token:,|,|O|3|-3|| token:interacted|VBD|O|4|-2|ccomp|2 token:with|IN|O|5|-1|case|10 token:PS1|NN|P2|6|0|nmod:with|8 token:.|.|O|7|1|| dep_token:armadillo-protein|NN|P1|nsubj|8 dep_token:interacted|VBD|O|ccomp|2 dep_token:PS1|NN|P2|nmod:with|8 dep_path_len:2 lex_dep_path:GENE_1|<-nsubj<-w:interact->nmod:with->|GENE_2	We also found another <1>armadillo-protein</1>, <0>p0071</0>, interacted with <1>PS1</1>.
R_PPI AIMed_d30 5 *EMPTY*-*EMPTY* token:We|PRP|O|-6|-10|nsubj|2 token:also|RB|O|-5|-9|advmod|2 token:found|VBD|O|-4|-8|root|2 token:another|DT|O|-3|-7|det|4 token:armadillo-protein|NN|P|-2|-6|nsubj|8 token:,|,|O|-1|-5|| token:p0071|NN|P1|0|-4|appos|4 token:,|,|O|1|-3|| token:interacted|VBD|O|2|-2|ccomp|2 token:with|IN|O|3|-1|case|10 token:PS1|NN|P2|4|0|nmod:with|8 token:.|.|O|5|1|| dep_token:p0071|NN|P1|appos|4 dep_token:armadillo-protein|NN|P|nsubj|8 dep_token:interacted|VBD|O|ccomp|2 dep_token:PS1|NN|P2|nmod:with|8 dep_path_len:3 lex_dep_path:GENE_1|<-appos<-w:armadillo-protein<-nsubj<-__->nmod:with->|GENE_2 lex_dep_path:GENE_1|<-appos<-nsubj<-w:interact->nmod:with->|GENE_2	We also found another <0>armadillo-protein</0>, <1>p0071</1>, interacted with <1>PS1</1>.
NONE AIMed_d192 0 *EMPTY*-*EMPTY* token:Activation|NN|O|-2|-2|nsubj|5 token:of|IN|O|-1|-1|case|4 token:interferon-gamma|NN|P1|0|0|compound|4 token:inducing|NN|P2|1|0|compound|4 token:factor|NN|P2|2|0|nmod:of|0 token:mediated|VBN|O|3|1|root|5 token:by|IN|O|4|2|case|9 token:interleukin-1beta|NN|P|5|3|compound|9 token:converting|NN|P|6|4|compound|9 token:enzyme|NN|P|7|5|nmod:by|5 token:.|.|O|8|6|| dep_token:interferon-gamma|NN|P1|compound|4 dep_token:factor|NN|P2|nmod:of|0 dep_path_len:1	Activation of <1><1>interferon-gamma</1> inducing factor</1> mediated by <0><0>interleukin-1beta</0> converting enzyme</0>.
NONE AIMed_d192 0 *EMPTY*-*EMPTY* token:Activation|NN|O|-2|-7|nsubj|5 token:of|IN|O|-1|-6|case|4 token:interferon-gamma|NN|P1|0|-5|compound|4 token:inducing|NN|P|1|-4|compound|4 token:factor|NN|P|2|-3|nmod:of|0 token:mediated|VBN|O|3|-2|root|5 token:by|IN|O|4|-1|case|9 token:interleukin-1beta|NN|P2|5|0|compound|9 token:converting|NN|P|6|1|compound|9 token:enzyme|NN|P|7|2|nmod:by|5 token:.|.|O|8|3|| dep_token:interferon-gamma|NN|P1|compound|4 dep_token:factor|NN|P|nmod:of|0 dep_token:Activation|NN|O|nsubj|5 dep_token:mediated|VBN|O|root|5 dep_token:enzyme|NN|P|nmod:by|5 dep_token:interleukin-1beta|NN|P2|compound|9 dep_path_len:5 lex_dep_path:GENE_1|<-compound<-w:factor<-nmod:of<-nsubj<-__->nmod:by->compound->|GENE_2 lex_dep_path:GENE_1|<-compound<-nmod:of<-w:activ<-nsubj<-__->nmod:by->compound->|GENE_2 lex_dep_path:GENE_1|<-compound<-nmod:of<-nsubj<-w:mediat->nmod:by->compound->|GENE_2 lex_dep_path:GENE_1|<-compound<-nmod:of<-nsubj<-__->nmod:by->w:enzym->compound->|GENE_2	Activation of <0><1>interferon-gamma</1> inducing factor</0> mediated by <0><1>interleukin-1beta</1> converting enzyme</0>.
